"","participant","cue","response","response_order","condition"
"3565","MM_020","will","",1,"n"
"3566","MM_020","will","",2,"n"
"3567","MM_020","will","",3,"n"
"3568","MM_020","kitchen","food",1,"n"
"3569","MM_020","kitchen","dinner",2,"n"
"3570","MM_020","kitchen","breakfast",3,"n"
"3571","MM_020","teacher","school",1,"n"
"3572","MM_020","teacher","learn",2,"n"
"3573","MM_020","teacher","",3,"n"
"3574","MM_020","wind","air",1,"n"
"3575","MM_020","wind","breeze",2,"n"
"3576","MM_020","wind","fall",3,"n"
"3577","MM_020","climb","mountain",1,"n"
"3578","MM_020","climb","",2,"n"
"3579","MM_020","climb","",3,"n"
"3580","MM_020","empty","",1,"n"
"3581","MM_020","empty","",2,"n"
"3582","MM_020","empty","",3,"n"
"3583","MM_020","high","jump",1,"n"
"3584","MM_020","high","sky",2,"n"
"3585","MM_020","high","tall",3,"n"
"3586","MM_020","ankle","foot",1,"n"
"3587","MM_020","ankle","leg",2,"n"
"3588","MM_020","ankle","",3,"n"
"3589","MM_020","talk","words",1,"n"
"3590","MM_020","talk","speak",2,"n"
"3591","MM_020","talk","friends",3,"n"
"3592","MM_020","daddy","father",1,"n"
"3593","MM_020","daddy","dad",2,"n"
"3594","MM_020","daddy","",3,"n"
"3595","MM_020","doctor","medicine",1,"n"
"3596","MM_020","doctor","smart",2,"n"
"3597","MM_020","doctor","",3,"n"
"3598","MM_020","purse","wallet",1,"n"
"3599","MM_020","purse","accessory",2,"n"
"3600","MM_020","purse","cute",3,"n"
"3601","MM_021","hat","baseball",1,"n"
"3602","MM_021","hat","rope",2,"n"
"3603","MM_021","hat","trucker",3,"n"
"3604","MM_021","mine","diamond",1,"n"
"3605","MM_021","mine","craft",2,"n"
"3606","MM_021","mine","lava",3,"n"
"3607","MM_021","why","",1,"n"
"3608","MM_021","why","what",2,"n"
"3609","MM_021","why","who",3,"n"
"3610","MM_021","careful","safe",1,"n"
"3611","MM_021","careful","hazardous",2,"n"
"3612","MM_021","careful","protection",3,"n"
"3613","MM_021","stand","sit",1,"n"
"3614","MM_021","stand","stay",2,"n"
"3615","MM_021","stand","hand",3,"n"
"3616","MM_021","coffee","iced",1,"n"
"3617","MM_021","coffee","hot",2,"n"
"3618","MM_021","coffee","yummy",3,"n"
"3619","MM_021","try","attempt",1,"n"
"3620","MM_021","try","perservere",2,"n"
"3621","MM_021","try","fail",3,"n"
"3622","MM_021","fine","good",1,"n"
"3623","MM_021","fine","subpar",2,"n"
"3624","MM_021","fine","superb",3,"n"
"3625","MM_021","buy","collect",1,"n"
"3626","MM_021","buy","money",2,"n"
"3627","MM_021","buy","retrieve",3,"n"
"3628","MM_021","yes","no",1,"n"
"3629","MM_021","yes","maybe",2,"n"
"3630","MM_021","yes","sure",3,"n"
"3631","MM_021","will","free",1,"n"
"3632","MM_021","will","do",2,"n"
"3633","MM_021","will","choice",3,"n"
"3634","MM_021","please","thanks",1,"n"
"3635","MM_021","please","manner",2,"n"
"3636","MM_021","please","cordial",3,"n"
"3637","MM_021","ankle","foot",1,"n"
"3638","MM_021","ankle","toe",2,"n"
"3639","MM_021","ankle","leg",3,"n"
"3640","MM_021","little","small",1,"n"
"3641","MM_021","little","baby",2,"n"
"3642","MM_021","little","mini",3,"n"
"3643","MM_021","yogurt","land",1,"n"
"3644","MM_021","yogurt","dairy",2,"n"
"3645","MM_021","yogurt","delicious",3,"n"
"3646","MM_021","church","god",1,"n"
"3647","MM_021","church","catholic",2,"n"
"3648","MM_021","church","best",3,"n"
"3649","MM_021","people","friends",1,"n"
"3650","MM_021","people","family",2,"n"
"3651","MM_021","people","stranger",3,"n"
"3652","MM_021","drive","car",1,"n"
"3653","MM_021","drive","jeep",2,"n"
"3654","MM_021","drive","airplane",3,"n"
"3655","MM_021","thirsty","quenched",1,"n"
"3656","MM_021","thirsty","parched",2,"n"
"3657","MM_021","thirsty","sweltering",3,"n"
"3658","MM_021","share","divide",1,"n"
"3659","MM_021","share","nice",2,"n"
"3660","MM_021","share","care",3,"n"
"3661","MM_021","shopping","shein",1,"n"
"3662","MM_021","shopping","dress",2,"n"
"3663","MM_021","shopping","money",3,"n"
"3664","MM_021","high","low",1,"n"
"3665","MM_021","high","sky",2,"n"
"3666","MM_021","high","cloud",3,"n"
"3667","MM_021","more","less",1,"n"
"3668","MM_021","more","plentiful",2,"n"
"3669","MM_021","more","abundant",3,"n"
"3670","MM_021","doctor","nurse",1,"n"
"3671","MM_021","doctor","shot",2,"n"
"3672","MM_021","doctor","helpful",3,"n"
"3673","MM_021","hug","sweet",1,"n"
"3674","MM_021","hug","loving",2,"n"
"3675","MM_021","hug","caring",3,"n"
"3676","MM_021","light","dark",1,"n"
"3677","MM_021","light","bulb",2,"n"
"3678","MM_021","light","bug",3,"n"
"3679","MM_021","show","performance",1,"n"
"3680","MM_021","show","dance",2,"n"
"3681","MM_021","show","entertaining",3,"n"
"3682","MM_021","feed","animals",1,"n"
"3683","MM_021","feed","hungry",2,"n"
"3684","MM_021","feed","smell",3,"n"
"3685","MM_021","mommy","caregiver",1,"n"
"3686","MM_021","mommy","dad",2,"n"
"3687","MM_021","mommy","child",3,"n"
"3688","MM_021","daddy","mom",1,"n"
"3689","MM_021","daddy","father",2,"n"
"3690","MM_021","daddy","husband",3,"n"
"3691","MM_021","hi","hey",1,"n"
"3692","MM_021","hi","aloha",2,"n"
"3693","MM_021","hi","hey",3,"n"
"3694","MM_021","bedroom","kitchen",1,"n"
"3695","MM_021","bedroom","cozy",2,"n"
"3696","MM_021","bedroom","bathroom",3,"n"
"3697","MM_021","talk","listen",1,"n"
"3698","MM_021","talk","speak",2,"n"
"3699","MM_021","talk","sing",3,"n"
"3700","MM_021","with","together",1,"n"
"3701","MM_021","with","share",2,"n"
"3702","MM_021","with","conjoined",3,"n"
"3703","MM_021","dance","fun",1,"n"
"3704","MM_021","dance","flex",2,"n"
"3705","MM_021","dance","whip",3,"n"
"3706","MM_021","tiny","miniature",1,"n"
"3707","MM_021","tiny","small",2,"n"
"3708","MM_021","tiny","little",3,"n"
"3709","MM_021","pizza","yummy",1,"n"
"3710","MM_021","pizza","pepporoni",2,"n"
"3711","MM_021","pizza","crust",3,"n"
"3712","MM_021","like","love",1,"n"
"3713","MM_021","like","fan",2,"n"
"3714","MM_021","like","adore",3,"n"
"3715","MM_021","empty","lonely",1,"n"
"3716","MM_021","empty","nothing",2,"n"
"3717","MM_021","empty","isolation",3,"n"
"3718","MM_021","sneaker","shoe",1,"n"
"3719","MM_021","sneaker","hoka",2,"n"
"3720","MM_021","sneaker","nike",3,"n"
"3721","MM_021","pillow","comfy",1,"n"
"3722","MM_021","pillow","best",2,"n"
"3723","MM_021","pillow","cozy",3,"n"
"3724","MM_021","kitchen","pan",1,"n"
"3725","MM_021","kitchen","food",2,"n"
"3726","MM_021","kitchen","cook",3,"n"
"3727","MM_021","wind","airplane",1,"n"
"3728","MM_021","wind","sail",2,"n"
"3729","MM_021","wind","bird",3,"n"
"3730","MM_021","teacher","smart",1,"n"
"3731","MM_021","teacher","caring",2,"n"
"3732","MM_021","teacher","work",3,"n"
"3733","MM_021","bench","chair",1,"n"
"3734","MM_021","bench","seat",2,"n"
"3735","MM_021","bench","rest",3,"n"
"3736","MM_021","run","walk",1,"n"
"3737","MM_021","run","sprint",2,"n"
"3738","MM_021","run","marathon",3,"n"
"3739","MM_021","turn","spin",1,"n"
"3740","MM_021","turn","dance",2,"n"
"3741","MM_021","turn","move",3,"n"
"3742","MM_021","love","family",1,"n"
"3743","MM_021","love","friends",2,"n"
"3744","MM_021","love","caring",3,"n"
"3745","MM_021","jump","levitate",1,"n"
"3746","MM_021","jump","fun",2,"n"
"3747","MM_021","jump","gravity",3,"n"
"3748","MM_021","glasses","see",1,"n"
"3749","MM_021","glasses","blind",2,"n"
"3750","MM_021","glasses","helpful",3,"n"
"3751","MM_021","medicine","doctor",1,"n"
"3752","MM_021","medicine","sick",2,"n"
"3753","MM_021","medicine","cough",3,"n"
"3754","MM_021","movie","up",1,"n"
"3755","MM_021","movie","show",2,"n"
"3756","MM_021","movie","entertaining",3,"n"
"3757","MM_021","game","clue",1,"n"
"3758","MM_021","game","cards",2,"n"
"3759","MM_021","game","board",3,"n"
"3760","MM_021","purse","wallet",1,"n"
"3761","MM_021","purse","valuable",2,"n"
"3762","MM_021","purse","money",3,"n"
"3763","MM_021","coke","diet",1,"n"
"3764","MM_021","coke","soda",2,"n"
"3765","MM_021","coke","best",3,"n"
"3766","MM_021","truck","green",1,"n"
"3767","MM_021","truck","big",2,"n"
"3768","MM_021","truck","wheel",3,"n"
"3769","MM_021","take","steal",1,"n"
"3770","MM_021","take","borrow",2,"n"
"3771","MM_021","take","offer",3,"n"
"3772","MM_021","kiss","love",1,"n"
"3773","MM_021","kiss","heart",2,"n"
"3774","MM_021","kiss","sweet",3,"n"
"3775","MM_021","climb","adventure",1,"n"
"3776","MM_021","climb","tree",2,"n"
"3777","MM_021","climb","koala",3,"n"
"3778","MM_021","tiger","mike",1,"n"
"3779","MM_021","tiger","strong",2,"n"
"3780","MM_021","tiger","scary",3,"n"
"3781","MM_022","run","fast",1,"cl"
"3782","MM_022","run","speed",2,"cl"
"3783","MM_022","run","move",3,"cl"
"3784","MM_022","purse","hold",1,"cl"
"3785","MM_022","purse","bag",2,"cl"
"3786","MM_022","purse","money",3,"cl"
"3787","MM_022","dance","move",1,"cl"
"3788","MM_022","dance","spin",2,"cl"
"3789","MM_022","dance","jump",3,"cl"
"3790","MM_022","medicine","cold",1,"cl"
"3791","MM_022","medicine","sick",2,"cl"
"3792","MM_022","medicine","aid",3,"cl"
"3793","MM_022","please","ask",1,"cl"
"3794","MM_022","please","manners",2,"cl"
"3795","MM_022","please","respect",3,"cl"
"3796","MM_022","coffee","caffine",1,"cl"
"3797","MM_022","coffee","drink",2,"cl"
"3798","MM_022","coffee","energy",3,"cl"
"3799","MM_022","game","play",1,"cl"
"3800","MM_022","game","fun",2,"cl"
"3801","MM_022","game","activity",3,"cl"
"3802","MM_022","tiny","small",1,"cl"
"3803","MM_022","tiny","little",2,"cl"
"3804","MM_022","tiny","baby",3,"cl"
"3805","MM_022","climb","reach",1,"cl"
"3806","MM_022","climb","step",2,"cl"
"3807","MM_022","climb","mountain",3,"cl"
"3808","MM_022","sneaker","shoe",1,"cl"
"3809","MM_022","sneaker","laces",2,"cl"
"3810","MM_022","sneaker","run",3,"cl"
"3811","MM_022","pillow","sleep",1,"cl"
"3812","MM_022","pillow","soft",2,"cl"
"3813","MM_022","pillow","comfort",3,"cl"
"3814","MM_022","tiger","mike",1,"cl"
"3815","MM_022","tiger","animal",2,"cl"
"3816","MM_022","tiger","orange",3,"cl"
"3817","MM_022","little","small",1,"cl"
"3818","MM_022","little","tiny",2,"cl"
"3819","MM_022","little","kid",3,"cl"
"3820","MM_022","yogurt","dairy",1,"cl"
"3821","MM_022","yogurt","food",2,"cl"
"3822","MM_022","yogurt","milk",3,"cl"
"3823","MM_022","like","good",1,"cl"
"3824","MM_022","like","love",2,"cl"
"3825","MM_022","like","smile",3,"cl"
"3826","MM_022","careful","cautious",1,"cl"
"3827","MM_022","careful","peticular",2,"cl"
"3828","MM_022","careful","thoughtful",3,"cl"
"3829","MM_022","church","god",1,"cl"
"3830","MM_022","church","worship",2,"cl"
"3831","MM_022","church","bible",3,"cl"
"3832","MM_022","fine","okay",1,"cl"
"3833","MM_022","fine","good",2,"cl"
"3834","MM_022","fine","great",3,"cl"
"3835","MM_022","love","like",1,"cl"
"3836","MM_022","love","connection",2,"cl"
"3837","MM_022","love","people",3,"cl"
"3838","MM_022","talk","speak",1,"cl"
"3839","MM_022","talk","words",2,"cl"
"3840","MM_022","talk","mouth",3,"cl"
"3841","MM_022","yes","okay",1,"cl"
"3842","MM_022","yes","good",2,"cl"
"3843","MM_022","yes","yeah",3,"cl"
"3844","MM_022","more","big",1,"cl"
"3845","MM_022","more","enough",2,"cl"
"3846","MM_022","more","little",3,"cl"
"3847","MM_022","light","sun",1,"cl"
"3848","MM_022","light","bright",2,"cl"
"3849","MM_022","light","yellow",3,"cl"
"3850","MM_022","people","hair",1,"cl"
"3851","MM_022","people","eyes",2,"cl"
"3852","MM_022","people","mouth",3,"cl"
"3853","MM_022","truck","vehicle",1,"cl"
"3854","MM_022","truck","move",2,"cl"
"3855","MM_022","truck","car",3,"cl"
"3856","MM_022","wind","weather",1,"cl"
"3857","MM_022","wind","gust",2,"cl"
"3858","MM_022","wind","cold",3,"cl"
"3859","MM_022","why","question",1,"cl"
"3860","MM_022","why","how",2,"cl"
"3861","MM_022","why","when",3,"cl"
"3862","MM_022","with","person",1,"cl"
"3863","MM_022","with","someone",2,"cl"
"3864","MM_022","with","something",3,"cl"
"3865","MM_022","shopping","money",1,"cl"
"3866","MM_022","shopping","spending",2,"cl"
"3867","MM_022","shopping","clothes",3,"cl"
"3868","MM_022","drive","car",1,"cl"
"3869","MM_022","drive","truck",2,"cl"
"3870","MM_022","drive","suv",3,"cl"
"3871","MM_022","feed","food",1,"cl"
"3872","MM_022","feed","eat",2,"cl"
"3873","MM_022","feed","hungry",3,"cl"
"3874","MM_022","turn","left",1,"cl"
"3875","MM_022","turn","right",2,"cl"
"3876","MM_022","turn","around",3,"cl"
"3877","MM_022","try","attempt",1,"cl"
"3878","MM_022","try","solve",2,"cl"
"3879","MM_022","try","problem",3,"cl"
"3880","MM_022","kitchen","cook",1,"cl"
"3881","MM_022","kitchen","food",2,"cl"
"3882","MM_022","kitchen","eat",3,"cl"
"3883","MM_022","bench","sit",1,"cl"
"3884","MM_022","bench","chair",2,"cl"
"3885","MM_022","bench","relax",3,"cl"
"3886","MM_022","stand","legs",1,"cl"
"3887","MM_022","stand","tall",2,"cl"
"3888","MM_022","stand","up",3,"cl"
"3889","MM_022","daddy","parent",1,"cl"
"3890","MM_022","daddy","father",2,"cl"
"3891","MM_022","daddy","kid",3,"cl"
"3892","MM_022","jump","high",1,"cl"
"3893","MM_022","jump","air",2,"cl"
"3894","MM_022","jump","move",3,"cl"
"3895","MM_022","will","can",1,"cl"
"3896","MM_022","will","free",2,"cl"
"3897","MM_022","will","do",3,"cl"
"3898","MM_022","thirsty","water",1,"cl"
"3899","MM_022","thirsty","drink",2,"cl"
"3900","MM_022","thirsty","liquid",3,"cl"
"3901","MM_022","kiss","mouth",1,"cl"
"3902","MM_022","kiss","lips",2,"cl"
"3903","MM_022","kiss","love",3,"cl"
"3904","MM_022","doctor","help",1,"cl"
"3905","MM_022","doctor","heal",2,"cl"
"3906","MM_022","doctor","patient",3,"cl"
"3907","MM_022","high","air",1,"cl"
"3908","MM_022","high","tall",2,"cl"
"3909","MM_022","high","up",3,"cl"
"3910","MM_022","mommy","mother",1,"cl"
"3911","MM_022","mommy","kid",2,"cl"
"3912","MM_022","mommy","parent",3,"cl"
"3913","MM_022","buy","spend",1,"cl"
"3914","MM_022","buy","possession",2,"cl"
"3915","MM_022","buy","money",3,"cl"
"3916","MM_022","hi","hello",1,"cl"
"3917","MM_022","hi","hey",2,"cl"
"3918","MM_022","hi","greeting",3,"cl"
"3919","MM_022","coke","soda",1,"cl"
"3920","MM_022","coke","drink",2,"cl"
"3921","MM_022","coke","cherry",3,"cl"
"3922","MM_022","movie","long",1,"cl"
"3923","MM_022","movie","romance",2,"cl"
"3924","MM_022","movie","comedy",3,"cl"
"3925","MM_022","empty","gone",1,"cl"
"3926","MM_022","empty","nothing",2,"cl"
"3927","MM_022","empty","lack",3,"cl"
"3928","MM_022","show","short",1,"cl"
"3929","MM_022","show","good",2,"cl"
"3930","MM_022","show","tv",3,"cl"
"3931","MM_022","take","steal",1,"cl"
"3932","MM_022","take","get",2,"cl"
"3933","MM_022","take","have",3,"cl"
"3934","MM_022","bedroom","sleep",1,"cl"
"3935","MM_022","bedroom","relax",2,"cl"
"3936","MM_022","bedroom","comfort",3,"cl"
"3937","MM_022","share","give",1,"cl"
"3938","MM_022","share","extend",2,"cl"
"3939","MM_022","share","lend",3,"cl"
"3940","MM_022","teacher","adult",1,"cl"
"3941","MM_022","teacher","nice",2,"cl"
"3942","MM_022","teacher","lesson",3,"cl"
"3943","MM_022","glasses","vision",1,"cl"
"3944","MM_022","glasses","see",2,"cl"
"3945","MM_022","glasses","eyes",3,"cl"
"3946","MM_022","hat","wear",1,"cl"
"3947","MM_022","hat","head",2,"cl"
"3948","MM_022","hat","shade",3,"cl"
"3949","MM_022","ankle","leg",1,"cl"
"3950","MM_022","ankle","broke",2,"cl"
"3951","MM_022","ankle","body",3,"cl"
"3952","MM_022","pizza","food",1,"cl"
"3953","MM_022","pizza","cheese",2,"cl"
"3954","MM_022","pizza","pepperoni",3,"cl"
"3955","MM_022","hug","physical",1,"cl"
"3956","MM_022","hug","embrace",2,"cl"
"3957","MM_022","hug","love",3,"cl"
"3958","MM_022","mine","possession",1,"cl"
"3959","MM_022","mine","yours",2,"cl"
"3960","MM_022","mine","ours",3,"cl"
"3961","MM_023","people","humans",1,"cl"
"3962","MM_023","people","living",2,"cl"
"3963","MM_023","people","gender",3,"cl"
"3964","MM_023","church","god",1,"cl"
"3965","MM_023","church","gospel",2,"cl"
"3966","MM_023","church","christians",3,"cl"
"3967","MM_023","why","question",1,"cl"
"3968","MM_023","why","curious",2,"cl"
"3969","MM_023","why","confusion",3,"cl"
"3970","MM_023","daddy","father",1,"cl"
"3971","MM_023","daddy","dad",2,"cl"
"3972","MM_023","daddy","producer",3,"cl"
"3973","MM_023","try","confident",1,"cl"
"3974","MM_023","try","",2,"cl"
"3975","MM_023","try","",3,"cl"
"3976","MM_023","empty","depressed",1,"cl"
"3977","MM_023","empty","sad",2,"cl"
"3978","MM_023","empty","crying",3,"cl"
"3979","MM_023","light","sun",1,"cl"
"3980","MM_023","light","candles",2,"cl"
"3981","MM_023","light","lamps",3,"cl"
"3982","MM_023","tiny","small",1,"cl"
"3983","MM_023","tiny","short",2,"cl"
"3984","MM_023","tiny","little",3,"cl"
"3985","MM_023","take","stealing",1,"cl"
"3986","MM_023","take","theift",2,"cl"
"3987","MM_023","take","borrowing",3,"cl"
"3988","MM_023","kiss","love",1,"cl"
"3989","MM_023","kiss","makingout",2,"cl"
"3990","MM_023","kiss","smooching",3,"cl"
"3991","MM_023","run","fast",1,"cl"
"3992","MM_023","run","speed",2,"cl"
"3993","MM_023","run","track",3,"cl"
"3994","MM_023","game","playstation",1,"cl"
"3995","MM_023","game","football",2,"cl"
"3996","MM_023","game","basketball",3,"cl"
"3997","MM_023","jump","rabbits",1,"cl"
"3998","MM_023","jump","jumpingjacks",2,"cl"
"3999","MM_023","jump","volleyball",3,"cl"
"4000","MM_023","high","above",1,"cl"
"4001","MM_023","high","sky",2,"cl"
"4002","MM_023","high","upper",3,"cl"
"4003","MM_023","thirsty","dehydrated",1,"cl"
"4004","MM_023","thirsty","water",2,"cl"
"4005","MM_023","thirsty","drinking",3,"cl"
"4006","MM_023","coffee","caffine",1,"cl"
"4007","MM_023","coffee","morning",2,"cl"
"4008","MM_023","coffee","",3,"cl"
"4009","MM_023","more","greedy",1,"cl"
"4010","MM_023","more","",2,"cl"
"4011","MM_023","more","",3,"cl"
"4012","MM_023","mine","together",1,"cl"
"4013","MM_023","mine","taken",2,"cl"
"4014","MM_023","mine","",3,"cl"
"4015","MM_023","yogurt","greek",1,"cl"
"4016","MM_023","yogurt","vanilla",2,"cl"
"4017","MM_023","yogurt","fruit",3,"cl"
"4018","MM_023","truck","vehicle",1,"cl"
"4019","MM_023","truck","wheels",2,"cl"
"4020","MM_023","truck","steeringwheel",3,"cl"
"4021","MM_023","buy","",1,"cl"
"4022","MM_023","buy","purchase",2,"cl"
"4023","MM_023","buy","applepay",3,"cl"
"4024","MM_023","will","",1,"cl"
"4025","MM_023","will","",2,"cl"
"4026","MM_023","will","",3,"cl"
"4027","MM_023","feed","eating",1,"cl"
"4028","MM_023","feed","eat",2,"cl"
"4029","MM_023","feed","food",3,"cl"
"4030","MM_023","doctor","sick",1,"cl"
"4031","MM_023","doctor","medicine",2,"cl"
"4032","MM_023","doctor","hospital",3,"cl"
"4033","MM_023","shopping","buying",1,"cl"
"4034","MM_023","shopping","purchase",2,"cl"
"4035","MM_023","shopping","spending",3,"cl"
"4036","MM_023","teacher","teaching",1,"cl"
"4037","MM_023","teacher","proffessor",2,"cl"
"4038","MM_023","teacher","school",3,"cl"
"4039","MM_023","share","",1,"cl"
"4040","MM_023","share","",2,"cl"
"4041","MM_023","share","",3,"cl"
"4042","MM_023","bedroom","bed",1,"cl"
"4043","MM_023","bedroom","sleeping",2,"cl"
"4044","MM_023","bedroom","mattress",3,"cl"
"4045","MM_023","climb","monkey",1,"cl"
"4046","MM_023","climb","trees",2,"cl"
"4047","MM_023","climb","animals",3,"cl"
"4048","MM_023","hug","hugging",1,"cl"
"4049","MM_023","hug","love",2,"cl"
"4050","MM_023","hug","sidehug",3,"cl"
"4051","MM_023","bench","sitting",1,"cl"
"4052","MM_023","bench","chair",2,"cl"
"4053","MM_023","bench","benchpress",3,"cl"
"4054","MM_023","please","begging",1,"cl"
"4055","MM_023","please","pleased",2,"cl"
"4056","MM_023","please","asking",3,"cl"
"4057","MM_023","hat","cap",1,"cl"
"4058","MM_023","hat","helmet",2,"cl"
"4059","MM_023","hat","",3,"cl"
"4060","MM_023","little","small",1,"cl"
"4061","MM_023","little","tiny",2,"cl"
"4062","MM_023","little","petite",3,"cl"
"4063","MM_023","love","kissing",1,"cl"
"4064","MM_023","love","hugging",2,"cl"
"4065","MM_023","love","relationships",3,"cl"
"4066","MM_023","glasses","sunglasses",1,"cl"
"4067","MM_023","glasses","goggles",2,"cl"
"4068","MM_023","glasses","",3,"cl"
"4069","MM_023","coke","soda",1,"cl"
"4070","MM_023","coke","drink",2,"cl"
"4071","MM_023","coke","pop",3,"cl"
"4072","MM_023","with","together",1,"cl"
"4073","MM_023","with","two",2,"cl"
"4074","MM_023","with","double",3,"cl"
"4075","MM_023","mommy","mom",1,"cl"
"4076","MM_023","mommy","mother",2,"cl"
"4077","MM_023","mommy","birthgiver",3,"cl"
"4078","MM_023","turn","driving",1,"cl"
"4079","MM_023","turn","steering",2,"cl"
"4080","MM_023","turn","turnaround",3,"cl"
"4081","MM_023","dance","exercisng",1,"cl"
"4082","MM_023","dance","movement",2,"cl"
"4083","MM_023","dance","dancers",3,"cl"
"4084","MM_023","stand","stood",1,"cl"
"4085","MM_023","stand","onyourfeet",2,"cl"
"4086","MM_023","stand","notsittingdown",3,"cl"
"4087","MM_023","talk","speaking",1,"cl"
"4088","MM_023","talk","signlanguage",2,"cl"
"4089","MM_023","talk","gestures",3,"cl"
"4090","MM_023","sneaker","shoes",1,"cl"
"4091","MM_023","sneaker","tennisshoes",2,"cl"
"4092","MM_023","sneaker","",3,"cl"
"4093","MM_023","careful","cautious",1,"cl"
"4094","MM_023","careful","",2,"cl"
"4095","MM_023","careful","",3,"cl"
"4096","MM_023","ankle","",1,"cl"
"4097","MM_023","ankle","",2,"cl"
"4098","MM_023","ankle","",3,"cl"
"4099","MM_023","kitchen","cooking",1,"cl"
"4100","MM_023","kitchen","stove",2,"cl"
"4101","MM_023","kitchen","eating",3,"cl"
"4102","MM_023","medicine","doctor",1,"cl"
"4103","MM_023","medicine","pills",2,"cl"
"4104","MM_023","medicine","sick",3,"cl"
"4105","MM_023","drive","car",1,"cl"
"4106","MM_023","drive","truck",2,"cl"
"4107","MM_023","drive","van",3,"cl"
"4108","MM_023","wind","outside",1,"cl"
"4109","MM_023","wind","fall",2,"cl"
"4110","MM_023","wind","fan",3,"cl"
"4111","MM_023","pillow","sleeping",1,"cl"
"4112","MM_023","pillow","couch",2,"cl"
"4113","MM_023","pillow","",3,"cl"
"4114","MM_023","tiger","animal",1,"cl"
"4115","MM_023","tiger","orange",2,"cl"
"4116","MM_023","tiger","wild",3,"cl"
"4117","MM_023","fine","okay",1,"cl"
"4118","MM_023","fine","neutral",2,"cl"
"4119","MM_023","fine","",3,"cl"
"4120","MM_023","show","looking",1,"cl"
"4121","MM_023","show","",2,"cl"
"4122","MM_023","show","",3,"cl"
"4123","MM_023","pizza","food",1,"cl"
"4124","MM_023","pizza","cheese",2,"cl"
"4125","MM_023","pizza","pepperoni",3,"cl"
"4126","MM_023","yes","agreeing",1,"cl"
"4127","MM_023","yes","agree",2,"cl"
"4128","MM_023","yes","",3,"cl"
"4129","MM_023","like","love",1,"cl"
"4130","MM_023","like","",2,"cl"
"4131","MM_023","like","",3,"cl"
"4132","MM_023","movie","popcorn",1,"cl"
"4133","MM_023","movie","theater",2,"cl"
"4134","MM_023","movie","drinks",3,"cl"
"4135","MM_023","purse","handbag",1,"cl"
"4136","MM_023","purse","bag",2,"cl"
"4137","MM_023","purse","",3,"cl"
"4138","MM_023","hi","hello",1,"cl"
"4139","MM_023","hi","hey",2,"cl"
"4140","MM_023","hi","wassup",3,"cl"
"4141","MM_024","stand","tall",1,"n"
"4142","MM_024","stand","up",2,"n"
"4143","MM_024","stand","proud",3,"n"
"4144","MM_024","sneaker","shoe",1,"n"
"4145","MM_024","sneaker","snickers",2,"n"
"4146","MM_024","sneaker","sneaky",3,"n"
"4147","MM_024","tiger","orange",1,"n"
"4148","MM_024","tiger","black",2,"n"
"4149","MM_024","tiger","white",3,"n"
"4150","MM_024","wind","swoosh",1,"n"
"4151","MM_024","wind","swirl",2,"n"
"4152","MM_024","wind","cold",3,"n"
"4153","MM_024","will","not",1,"n"
"4154","MM_024","will","boy",2,"n"
"4155","MM_024","will","eat",3,"n"
"4156","MM_024","drive","car",1,"n"
"4157","MM_024","drive","plane",2,"n"
"4158","MM_024","drive","wheel",3,"n"
"4159","MM_024","people","person",1,"n"
"4160","MM_024","people","talk",2,"n"
"4161","MM_024","people","loud",3,"n"
"4162","MM_024","take","away",1,"n"
"4163","MM_024","take","give",2,"n"
"4164","MM_024","take","presents",3,"n"
"4165","MM_024","please","give",1,"n"
"4166","MM_024","please","no",2,"n"
"4167","MM_024","please","lie",3,"n"
"4168","MM_024","fine","happy",1,"n"
"4169","MM_024","fine","ok",2,"n"
"4170","MM_024","fine","good",3,"n"
"4171","MM_024","talk","loud",1,"n"
"4172","MM_024","talk","quite",2,"n"
"4173","MM_024","talk","blasting",3,"n"
"4174","MM_024","dance","night",1,"n"
"4175","MM_024","dance","red",2,"n"
"4176","MM_024","dance","punch",3,"n"
"4177","MM_024","coke","charli",1,"n"
"4178","MM_024","coke","cola",2,"n"
"4179","MM_024","coke","red",3,"n"
"4180","MM_024","bedroom","blue",1,"n"
"4181","MM_024","bedroom","quiet",2,"n"
"4182","MM_024","bedroom","games",3,"n"
"4183","MM_024","show","tonight",1,"n"
"4184","MM_024","show","movie",2,"n"
"4185","MM_024","show","tv",3,"n"
"4186","MM_024","church","confusing",1,"n"
"4187","MM_024","church","reverent",2,"n"
"4188","MM_024","church","orange",3,"n"
"4189","MM_024","ankle","bone",1,"n"
"4190","MM_024","ankle","purple",2,"n"
"4191","MM_024","ankle","broken",3,"n"
"4192","MM_024","mommy","daddy",1,"n"
"4193","MM_024","mommy","son",2,"n"
"4194","MM_024","mommy","sister",3,"n"
"4195","MM_024","teacher","awful",1,"n"
"4196","MM_024","teacher","mean",2,"n"
"4197","MM_024","teacher","glasses",3,"n"
"4198","MM_024","try","hard",1,"n"
"4199","MM_024","try","up",2,"n"
"4200","MM_024","try","now",3,"n"
"4201","MM_024","empty","hollow",1,"n"
"4202","MM_024","empty","bottom",2,"n"
"4203","MM_024","empty","corner",3,"n"
"4204","MM_024","hug","thoughtful",1,"n"
"4205","MM_024","hug","greeting",2,"n"
"4206","MM_024","hug","amazing",3,"n"
"4207","MM_024","turn","around",1,"n"
"4208","MM_024","turn","about",2,"n"
